case1,case2,case3,case4,case5
0.04501274308996634,0.2612784687364746,0.02339906534579001,0.004116210020179607,0.19503612327281264
0.04501816907919549,0.26127914062454016,0.023396092960019405,0.004122927170382059,0.19503150395216778
0.045014203442875766,0.2612739731149547,0.023404231370854008,0.004100411639172364,0.1950310189983316
0.045011200331933836,0.2612735026348754,0.023395792682623463,0.0040868176122947015,0.19502791580264353
0.04501803328426431,0.26125030453532944,0.023399749235065694,0.0041145780644331305,0.1950293887288453
0.045019523035938626,0.26126395471582736,0.023393387093735375,0.004099615670392557,0.1950261147310463
0.045012518558177894,0.2612692944781707,0.02340058583044599,0.004126549516269099,0.19502444619166193
0.04501587590875229,0.2612755787051791,0.023400568301374356,0.004085405977854398,0.19503341706138838
0.04502322153917797,0.26128266806999123,0.023402069746098438,0.004119520496465674,0.19502828433516822
0.04501982411371076,0.26127055095636287,0.02339703931421323,0.0041010722083311465,0.19502799038655055
0.04501740376943438,0.26127070091544496,0.023403498683915308,0.004124985708590514,0.195031490580059
0.045014312527623355,0.26126998115499583,0.02340066673561361,0.00408567507998351,0.19503134140463768
0.045015498801261565,0.2612526652219192,0.02340005836277274,0.004085190875780302,0.19503090310263482
0.04502024759166963,0.2612681941840428,0.023402511576873727,0.004121664085862126,0.19503110174772043
0.045007039909590915,0.2612674816191945,0.023402159041568112,0.004100315150152206,0.19502834755189213
0.045013441003873285,0.2612725089663831,0.023395583769789445,0.0041443405678015955,0.19502874166628772
0.04500940384569037,0.2612680055672135,0.023390704213261053,0.004136939306898931,0.19503182659967633
0.04501698415699259,0.26127022947879547,0.023405165347485855,0.004086335397293502,0.19502964670824735
0.04501556834938423,0.2612761407406034,0.023409850346075955,0.0040945954928541355,0.19502835171938018
0.04501335649771641,0.2612632687540443,0.023395629317922384,0.004095388142813154,0.19502826199095846
0.04501457393688065,0.261275701225262,0.023396254363798486,0.004168616528966672,0.195029086545483
0.045016824292739274,0.26127387150546616,0.023398965013146814,0.004117876793976267,0.195037609255872
0.0450149498230301,0.2612711052973289,0.023402459783262285,0.004079111189246441,0.1950359887781608
0.04501209815433993,0.26126376625406883,0.023401414651707406,0.004101263373031553,0.1950323533939813
0.04501500423307496,0.26127690044040747,0.023386259443132204,0.004131231448737133,0.19503211622044508
0.04501199342918564,0.26126378057161725,0.02340191009455144,0.004099213739257176,0.1950322218403837
0.04501468431282473,0.2612784225707024,0.023403036358278513,0.004097787212640746,0.19503029755736742
0.045017944238378696,0.2612800467041451,0.023394748626973202,0.0041064309363146615,0.19503252369573754
0.04501031876394792,0.2612709828230766,0.02339562053327941,0.00408509530568975,0.19503006329158087
0.045002677062815896,0.26127155409419495,0.023400309868789205,0.0041011422363110735,0.19503579540335195
0.0450149878881924,0.26126719427286565,0.023391659313487523,0.004126581942387228,0.1950329222090402
0.045010238618189036,0.26126937417920654,0.023394748143576873,0.0041416454860428945,0.19503176364255248
0.04501077287503903,0.261259417210127,0.023405682335234722,0.004116754243363295,0.19503028383658375
0.04501166670529871,0.2612780706793995,0.023388233349713957,0.004111256794237666,0.1950316743370372
0.045014259210496156,0.2612713894082047,0.023400981733287723,0.004031967888185352,0.19503271979996245
0.045012068692582084,0.26126897195934445,0.023395308165615972,0.004111246978392355,0.1950295146283216
0.04502396647110729,0.2612791743165354,0.023405186953103136,0.004127510174846126,0.19503715805785868
0.045017002573684566,0.26126303671244355,0.023391376823864957,0.004065815659637938,0.1950288770425198
0.0450185125678249,0.26126147345944234,0.023410431488331808,0.0041253885874694175,0.19502710129966713
0.045020084277089784,0.2612644072370989,0.023397451316362245,0.0041195906151400745,0.19503227947800658
0.04501793396327426,0.2612782645169336,0.023397464234263473,0.004066159869578208,0.1950308687965642
0.04501166205780805,0.26127181091538637,0.023393065587376402,0.004175365832624245,0.19503209450423062
0.045017498995789704,0.261263715427955,0.02339480125423528,0.004090544426754258,0.19502882629668816
0.04501508761824152,0.2612582117659039,0.023407333815661912,0.004113386325038292,0.19503695707419416
0.045016143329372586,0.261278149494951,0.023411814816911646,0.004051166808916173,0.1950338954578114
0.04501823050743618,0.26126486356059186,0.023397188034228605,0.004133060523960594,0.19502898333437013
0.04501476444565978,0.26128342474437033,0.023395038846921262,0.004115982873061058,0.19503725112471393
0.045018623610509,0.2612657579972894,0.023397316219083506,0.004080870158797521,0.1950309438668015
0.04501793184624072,0.2612705447223429,0.02339355975032766,0.004108459393785812,0.19503612327281264
0.04502093265220724,0.26127334192373947,0.02340346172301373,0.004152923641384841,0.1950301807340442
0.04501274407608458,0.2612784687364746,0.02339906534579001,0.0041147321022558395,0.1950310189983316
0.04501816391837473,0.26127914062454016,0.023396077852138035,0.004119598980999905,0.1950231563237144
0.04501093142683994,0.26127411847101695,0.023404231370854008,0.004100411639172364,0.1950293887288453
0.04501316557368163,0.26127228073316616,0.023395628778684837,0.004065075881589141,0.1950261147310463
0.04501803328426431,0.26125030453532944,0.023399749235065694,0.0041145780644331305,0.19502444619166193
0.045019523035938626,0.26126395471582736,0.023393387093735375,0.004099615670392557,0.19503341706138838
0.04501232036116554,0.2612692944781707,0.023400436579349187,0.004126568236925404,0.19502828433516822
0.04501587590875229,0.26127576181124273,0.023400568301374356,0.004085405977854398,0.19502799038655055
0.04502322153917797,0.26128266806999123,0.023402069746098438,0.004119397353435902,0.195031490580059
0.04501982411371076,0.26127055095636287,0.02339703931421323,0.004102855167759793,0.19503112894844038
0.04501692321464048,0.261274225855631,0.023403498683915308,0.004123488339918256,0.19503090248542967
0.04501532201893307,0.26126998115499583,0.02339950023507786,0.00408567507998351,0.19503110174772043
0.04501659508433764,0.26125261119823523,0.02340005836277274,0.004085190875780302,0.19502834755189213
0.04502024759166963,0.26126866353329536,0.023402511576873727,0.004121558569568643,0.19502874166628772
0.045007039909590915,0.2612674816191945,0.023405341598319116,0.004100315150152206,0.1950325106805686
0.045013441003873285,0.2612725089663831,0.023395583769789445,0.0041443405678015955,0.19502964670824735
0.04500890661255151,0.2612680055672135,0.023390704213261053,0.004136939306898931,0.19502835171938018
0.04501698415699259,0.26127022947879547,0.023405165347485855,0.004086335397293502,0.19502826199095846
0.04501556834938423,0.2612761407406034,0.023409850346075955,0.0040945954928541355,0.195029086545483
0.04501318448325512,0.26126188823440705,0.023391610913523507,0.004095388142813154,0.195037609255872
0.04501457393688065,0.26127490298995365,0.023396254363798486,0.004168616528966672,0.1950359887781608
0.04501745389277972,0.26127387150546616,0.023398965013146814,0.004117876793976267,0.1950323533939813
0.0450149498230301,0.26127299664209935,0.023401913355636395,0.00407819826669887,0.19503211622044508
0.04501209815433993,0.26126376625406883,0.023401414651707406,0.004103397080769283,0.19503183581218242
0.04501585137808739,0.26127690044040747,0.023386259443132204,0.004130882642241017,0.1950303513841665
0.04501042436274398,0.26126378057161725,0.02340191009455144,0.004099213739257176,0.19503217469201098
0.04501468431282473,0.2612784225707024,0.023403036358278513,0.004097787212640746,0.19503016331294934
0.045017944238378696,0.2612796430973056,0.023393628233403872,0.0041064309363146615,0.19503579540335195
0.04501031876394792,0.2612706623262054,0.02339562053327941,0.00408509530568975,0.1950329222090402
0.045002677062815896,0.26126873261018,0.023400309868789205,0.0041011422363110735,0.19503176364255248
0.0450149878881924,0.26126719427286565,0.02338601922689813,0.004126581942387228,0.19503028383658375
0.045010238618189036,0.26126895897547153,0.023394748143576873,0.004139993836090836,0.1950317668532647
0.045008635771492174,0.261259417210127,0.023405789153304664,0.004116754243363295,0.19503245155073212
0.04501294289390892,0.2612780706793995,0.023388233349713957,0.004110734771236448,0.1950295146283216
0.0450133200630013,0.2612713894082047,0.023400981733287723,0.004053686895511034,0.19503715805785868
0.045012068692582084,0.26126897195934445,0.023395560436889982,0.004110352987892925,0.1950288770425198
0.04502396647110729,0.2612791743165354,0.023405186953103136,0.004127510174846126,0.19502710129966713
0.04501684156246555,0.2612627435030882,0.023391376823864957,0.004065815659637938,0.19503207504878892
